GID_0,GID_1,GID_3,population,area_km2,population_km2
BGD,BGD.1,BGD.1.1.1_1,259345.1664,513,505.5461333
BGD,BGD.1,BGD.1.1.2_1,84835.77023,87,975.1237958
BGD,BGD.1,BGD.1.1.3_1,265666.8192,316,840.7177824
BGD,BGD.1,BGD.1.1.4_1,108415.1734,149,727.6186134
BGD,BGD.1,BGD.1.1.5_1,163118.4999,239,682.5041838
BGD,BGD.1,BGD.1.2.1_1,150715.4582,156,966.124732
BGD,BGD.1,BGD.1.2.2_1,132269.1906,160,826.6824409
BGD,BGD.1,BGD.1.2.3_1,294122.4198,356,826.1865724
BGD,BGD.1,BGD.1.2.4_1,149512.6091,131,1141.317627
BGD,BGD.1,BGD.1.2.5_1,529079.0452,271,1952.3212
BGD,BGD.1,BGD.1.2.6_1,177440.2694,149,1190.874291
BGD,BGD.1,BGD.1.2.7_1,130549.5929,193,676.4227612
BGD,BGD.1,BGD.1.2.8_1,235662.3178,282,835.6819781
BGD,BGD.1,BGD.1.2.9_1,166870.1178,221,755.0684062
BGD,BGD.1,BGD.1.2.10_1,230381.4911,252,914.2122663
BGD,BGD.1,BGD.1.3.1_1,446797.1107,289,1546.010764
BGD,BGD.1,BGD.1.3.2_1,217945.7969,232,939.4215385
BGD,BGD.1,BGD.1.3.3_1,435859.5221,588,741.2576907
BGD,BGD.1,BGD.1.3.4_1,173349.2567,101,1716.329274
BGD,BGD.1,BGD.1.3.5_1,287242.6932,262,1096.346157
BGD,BGD.1,BGD.1.3.6_1,59366.31239,123,482.6529463
BGD,BGD.1,BGD.1.3.7_1,169071.2411,120,1408.927009
BGD,BGD.1,BGD.1.4.1_1,212617.373,198,1073.825116
BGD,BGD.1,BGD.1.4.2_1,122339.8069,151,810.1973968
BGD,BGD.1,BGD.1.4.3_1,183782.3994,215,854.8018579
BGD,BGD.1,BGD.1.4.4_1,145073.2524,152,954.429292
BGD,BGD.1,BGD.1.5.1_1,299821.7997,392,764.85153
BGD,BGD.1,BGD.1.5.2_1,139380.9294,195,714.7739971
BGD,BGD.1,BGD.1.5.3_1,71105.77493,75,948.0769991
BGD,BGD.1,BGD.1.5.4_1,333245.5052,768,433.9134182
BGD,BGD.1,BGD.1.5.5_1,234472.956,436,537.7820092
BGD,BGD.1,BGD.1.5.6_1,130271.3221,161,809.1386463
BGD,BGD.1,BGD.1.5.7_1,352722.2144,352,1002.051745
BGD,BGD.1,BGD.1.6.1_1,143634.6534,149,963.9909627
BGD,BGD.1,BGD.1.6.2_1,63652.48509,80,795.6560637
BGD,BGD.1,BGD.1.6.3_1,259862.9379,325,799.5782703
BGD,BGD.1,BGD.1.6.4_1,186036.2854,227,819.5431074
BGD,BGD.1,BGD.1.6.5_1,211896.1037,186,1139.226364
BGD,BGD.1,BGD.1.6.6_1,163321.7052,162,1008.158674
BGD,BGD.1,BGD.1.6.7_1,73843.1553,90,820.4795034
BGD,BGD.2,BGD.2.1.1_1,89094.76027,782,113.9319185
BGD,BGD.2,BGD.2.1.2_1,116464.2021,445,261.717308
BGD,BGD.2,BGD.2.1.3_1,124543.3324,645,193.0904378
BGD,BGD.2,BGD.2.1.4_1,93836.51238,473,198.3858613
BGD,BGD.2,BGD.2.1.5_1,36604.03179,482,75.94197467
BGD,BGD.2,BGD.2.1.6_1,38937.85108,687,56.67809474
BGD,BGD.2,BGD.2.1.7_1,37825.02237,1065,35.51645293
BGD,BGD.2,BGD.2.2.1_1,178169.2252,92,1936.622013
BGD,BGD.2,BGD.2.2.2_1,208591.7602,73,2857.421372
BGD,BGD.2,BGD.2.2.3_1,345500.0481,205,1685.366089
BGD,BGD.2,BGD.2.2.4_1,289022.7197,217,1331.901934
BGD,BGD.2,BGD.2.2.5_1,546102.111,220,2482.282323
BGD,BGD.2,BGD.2.2.6_1,361942.3201,211,1715.366446
BGD,BGD.2,BGD.2.2.7_1,599316.9547,364,1646.47515
BGD,BGD.2,BGD.2.2.8_1,365999.754,316,1158.22707
BGD,BGD.2,BGD.2.2.9_1,400097.3984,221,1810.395468
BGD,BGD.2,BGD.2.3.1_1,483944.9648,256,1890.410019
BGD,BGD.2,BGD.2.3.2_1,430334.6825,241,1785.621089
BGD,BGD.2,BGD.2.3.3_1,97389.8765,61,1596.555352
BGD,BGD.2,BGD.2.3.4_1,380808.0117,193,1973.098506
BGD,BGD.2,BGD.2.3.5_1,390263.2728,226,1726.828641
BGD,BGD.2,BGD.2.3.6_1,207095.8416,127,1630.675918
BGD,BGD.2,BGD.2.3.7_1,302232.5567,278,1087.16747
BGD,BGD.2,BGD.2.3.8_1,215998.1182,159,1358.478731
BGD,BGD.2,BGD.2.4.1_1,257565.2412,153,1683.432949
BGD,BGD.2,BGD.2.4.2_1,118633.093,9,13181.45478
