GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,area_m2
USA,United States,USA.47_1,Virginia,,USA.47.1_1,Accomack,,,County,County,,US.VA.AC,1237202429
USA,United States,USA.47_1,Virginia,,USA.47.2_1,Albemarle,,,County,County,,US.VA.AB,1874286543
USA,United States,USA.47_1,Virginia,,USA.47.3_1,Alexandria,,,Independent City,Independent City,,US.VA.AX,40572658
USA,United States,USA.47_1,Virginia,,USA.47.4_1,Alleghany,,,County,County,,US.VA.AL,1155583987
USA,United States,USA.47_1,Virginia,,USA.47.5_1,Amelia,,,County,County,,US.VA.AI,954080323
USA,United States,USA.47_1,Virginia,,USA.47.6_1,Amherst,,,County,County,,US.VA.AH,1230468675
USA,United States,USA.47_1,Virginia,,USA.47.7_1,Appomattox,,,County,County,,US.VA.AP,886132724
USA,United States,USA.47_1,Virginia,,USA.47.8_1,Arlington,,,County,County,,US.VA.AR,68985622
USA,United States,USA.47_1,Virginia,,USA.47.9_1,Augusta,,,County,County,,US.VA.AU,
USA,United States,USA.47_1,Virginia,,USA.47.10_1,Bath,,,County,County,,US.VA.BA,1386850661
USA,United States,USA.47_1,Virginia,,USA.47.11_1,Bedford,,,County,County,,US.VA.BD,2007272030
USA,United States,USA.47_1,Virginia,,USA.47.12_1,Bedford City,,,City,County,,US.VA.BD,22216256
USA,United States,USA.47_1,Virginia,,USA.47.13_1,Bland,,,County,County,,US.VA.BL,927088076
USA,United States,USA.47_1,Virginia,,USA.47.14_1,Botetourt,,,County,County,,US.VA.BO,1417129801
USA,United States,USA.47_1,Virginia,,USA.47.15_1,Bristol,,,Independent City,Independent City,,US.VA.BI,30025208
USA,United States,USA.47_1,Virginia,,USA.47.16_1,Brunswick,,,County,County,,US.VA.BU,1481507876
USA,United States,USA.47_1,Virginia,,USA.47.17_1,Buchanan,,,County,County,,US.VA.BH,1298715653
USA,United States,USA.47_1,Virginia,,USA.47.18_1,Buckingham,,,County,County,,US.VA.BK,1513639939
